,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,epochs,nb_of_fclayers,kernel_size
0,1,1,0.25708676639231964,0.9237857142857143,193.70487594604492,193.70563316345215,0.01,10,False,20,2,4
1,1,2,0.07546794194272868,0.9776428571428571,201.50886344909668,395.21865725517273,0.01,10,False,20,2,4
2,1,3,0.04167132341875653,0.9879285714285714,205.8568480014801,601.079351902008,0.01,10,False,20,2,4
3,1,4,0.0238837604736225,0.9929523809523809,202.84405326843262,803.9274468421936,0.01,10,False,20,2,4
4,1,5,0.015065644845818887,0.9962142857142857,208.30658292770386,1012.2379102706909,0.01,10,False,20,2,4
5,1,6,0.008874799863601766,0.998,203.90737128257751,1216.1482694149017,0.01,10,False,20,2,4
6,1,7,0.005239832507872312,0.9988333333333334,203.77431201934814,1419.926640033722,0.01,10,False,20,2,4
7,1,8,0.0023850327031803295,0.9994761904761905,202.74616026878357,1622.6769914627075,0.01,10,False,20,2,4
8,1,9,0.0019641509875513987,0.9996190476190476,202.03778624534607,1824.7178845405579,0.01,10,False,20,2,4
9,1,10,0.0012762524448306153,0.9997857142857143,195.61191082000732,2020.3340287208557,0.01,10,False,20,2,4
10,1,11,0.00033858656347319994,1.0,196.5288438796997,2216.8670167922974,0.01,10,False,20,2,4
11,1,12,0.0002164691306650671,1.0,195.98388528823853,2412.853131055832,0.01,10,False,20,2,4
12,1,13,0.00017793155835341796,1.0,195.87831926345825,2608.7362337112427,0.01,10,False,20,2,4
13,1,14,0.00015345760772515318,1.0,197.14015197753906,2805.8810362815857,0.01,10,False,20,2,4
14,1,15,0.00013562771978687323,1.0,197.44885730743408,3003.3369414806366,0.01,10,False,20,2,4
15,1,16,0.00012181859999169357,1.0,198.6545512676239,3201.995792865753,0.01,10,False,20,2,4
16,1,17,0.00011076616831613386,1.0,202.77861189842224,3404.778766155243,0.01,10,False,20,2,4
17,1,18,0.00010166239625540641,1.0,198.97798466682434,3603.761402606964,0.01,10,False,20,2,4
18,1,19,9.402594247849346e-05,1.0,198.88538074493408,3802.64937210083,0.01,10,False,20,2,4
19,1,20,8.74820990901492e-05,1.0,207.9204444885254,4010.573972463608,0.01,10,False,20,2,4
